282.500, 131.299, 7.329,  8.849 False
282.010, 131.278, 7.376,  8.916 False
281.516, 131.259, 7.427,  8.983 False
281.019, 131.242, 7.478,  9.050 False
280.519, 131.225, 7.530,  9.117 False
280.015, 131.209, 7.581,  9.184 False
279.508, 131.192, 7.632,  9.251 False
278.997, 131.175, 7.681,  9.318 False
278.483, 131.159, 7.732,  9.385 False
277.966, 131.143, 7.782,  9.452 False
277.445, 131.127, 7.833,  9.519 False
276.921, 131.112, 7.883,  9.586 False
276.394, 131.096, 7.934,  9.653 False
275.863, 131.082, 7.984,  9.720 False
275.329, 131.067, 8.034,  9.787 False
274.791, 131.053, 8.083,  9.854 False
274.251, 131.039, 8.131,  9.921 False
273.707, 131.027, 8.174,  9.988 False
273.161, 131.013, 8.211, 10.055 False
272.612, 131.002, 8.240, 10.122 False
272.062, 130.989, 8.260, 10.189 False
271.511, 130.979, 8.272, 10.256 False
270.960, 130.967, 8.278, 10.323 False
270.408, 130.958, 8.277, 10.390 False
269.857, 130.947, 8.271, 10.457 False
269.306, 130.939, 8.263, 10.524 False
268.756, 130.930, 8.254, 10.591 False
268.207, 130.922, 8.244, 10.658 False
267.658, 130.914, 8.235, 10.725 False
267.109, 130.907, 8.228, 10.792 False
266.561, 130.900, 8.222, 10.859 False
266.013, 130.894, 8.219, 10.926 False
265.465, 130.888, 8.218, 10.993 False
264.917, 130.883, 8.218, 11.060 False
264.369, 130.878, 8.220, 11.127 False
263.821, 130.874, 8.222, 11.194 False
263.273, 130.869, 8.226, 11.261 False
262.724, 130.859, 8.227, 11.328 False
262.176, 130.850, 8.231, 11.395 False
261.627, 130.837, 8.233, 11.462 False
261.078, 130.825, 8.237, 11.529 False
260.529, 130.809, 8.238, 11.596 False
259.980, 130.794, 8.241, 11.663 False
259.431, 130.776, 8.242, 11.730 False
258.882, 130.759, 8.244, 11.797 False
258.333, 130.738, 8.245, 11.864 False
257.783, 130.718, 8.246, 11.931 False
257.234, 130.695, 8.246, 11.998 False
256.685, 130.674, 8.246, 12.065 False
256.136, 130.649, 8.247, 12.132 False
255.586, 130.626, 8.247, 12.199 False
255.037, 130.600, 8.247, 12.266 False
254.488, 130.576, 8.248, 12.333 False
253.939, 130.548, 8.248, 12.400 False
253.389, 130.522, 8.249, 12.467 False
252.840, 130.495, 8.249, 12.534 False
252.291, 130.468, 8.250, 12.601 False
251.742, 130.439, 8.251, 12.668 False
251.192, 130.412, 8.252, 12.735 False
250.643, 130.383, 8.253, 12.802 False
250.093, 130.354, 8.253, 12.869 False
249.544, 130.325, 8.254, 12.936 False
248.994, 130.297, 8.255, 13.003 False
248.445, 130.268, 8.256, 13.070 False
247.895, 130.239, 8.257, 13.137 False
247.345, 130.210, 8.257, 13.204 False
246.796, 130.181, 8.258, 13.271 False
246.246, 130.153, 8.259, 13.338 False
245.696, 130.124, 8.259, 13.405 False
245.146, 130.096, 8.260, 13.472 False
244.596, 130.068, 8.260, 13.539 False
244.046, 130.040, 8.261, 13.606 False
243.496, 130.013, 8.262, 13.673 False
242.946, 129.986, 8.262, 13.740 False
242.396, 129.960, 8.263, 13.807 False
241.845, 129.934, 8.263, 13.874 False
241.295, 129.908, 8.264, 13.941 False
240.745, 129.884, 8.264, 14.008 False
240.194, 129.858, 8.265, 14.075 False
239.644, 129.835, 8.266, 14.142 False
239.093, 129.811, 8.266, 14.209 False
238.542, 129.789, 8.267, 14.276 False
237.992, 129.766, 8.267, 14.343 False
237.441, 129.746, 8.268, 14.410 False
236.890, 129.724, 8.269, 14.477 False
236.339, 129.705, 8.269, 14.544 False
235.788, 129.684, 8.270, 14.611 False
235.237, 129.666, 8.270, 14.678 False
234.686, 129.647, 8.271, 14.745 False
234.135, 129.631, 8.271, 14.812 False
233.584, 129.613, 8.272, 14.879 False
233.033, 129.597, 8.272, 14.946 False
232.481, 129.581, 8.273, 15.013 False
231.930, 129.567, 8.273, 15.080 False
231.379, 129.552, 8.274, 15.147 False
230.827, 129.539, 8.275, 15.214 False
230.276, 129.525, 8.275, 15.281 False
229.724, 129.514, 8.276, 15.348 False
229.172, 129.501, 8.276, 15.415 False
228.621, 129.491, 8.277, 15.482 False
228.069, 129.479, 8.277, 15.549 False
227.517, 129.470, 8.278, 15.616 False
226.965, 129.460, 8.278, 15.683 False
226.414, 129.452, 8.279, 15.750 False
225.862, 129.443, 8.279, 15.817 False
225.310, 129.436, 8.280, 15.884 False
224.758, 129.428, 8.280, 15.951 False
224.206, 129.422, 8.281, 16.018 False
223.654, 129.415, 8.281, 16.085 False
223.102, 129.410, 8.282, 16.152 False
222.550, 129.405, 8.282, 16.219 False
221.998, 129.401, 8.282, 16.286 False
221.445, 129.396, 8.283, 16.353 False
220.893, 129.392, 8.283, 16.420 False
220.341, 129.389, 8.284, 16.487 False
219.789, 129.386, 8.284, 16.554 False
219.236, 129.383, 8.285, 16.621 False
218.684, 129.381, 8.285, 16.688 False
218.132, 129.379, 8.286, 16.755 False
217.579, 129.378, 8.286, 16.822 False
217.027, 129.376, 8.286, 16.889 False
216.474, 129.376, 8.287, 16.956 False
215.922, 129.375, 8.287, 17.023 False
215.369, 129.375, 8.288, 17.090 False
214.817, 129.375, 8.288, 17.157 False
214.264, 129.375, 8.288, 17.224 False
213.712, 129.376, 8.289, 17.291 False
213.159, 129.377, 8.289, 17.358 False
212.607, 129.378, 8.290, 17.425 False
212.054, 129.379, 8.290, 17.492 False
211.501, 129.380, 8.290, 17.559 False
210.949, 129.382, 8.291, 17.626 False
210.396, 129.383, 8.291, 17.693 False
209.843, 129.385, 8.292, 17.760 False
209.290, 129.387, 8.292, 17.827 False
208.737, 129.389, 8.292, 17.894 False
208.185, 129.391, 8.293, 17.961 False
207.632, 129.394, 8.293, 18.028 False
